State,County,Community Name (Number), Policies in Force , Total Coverage , Total Written Premium + FPF , Total Annual Payment 
MAINE,SOMERSET COUNTY,"HARMONY, TOWN OF (230360)", 1 ," $350,000 ", $773 ," $1,154 "
MAINE,SOMERSET COUNTY,"HARTLAND, TOWN OF (230361)", 16 ," $3,022,000 "," $9,824 "," $13,658 "
MAINE,SOMERSET COUNTY,"JACKMAN, TOWN OF (230362)", 4 ," $726,000 "," $2,467 "," $3,428 "
MAINE,SOMERSET COUNTY,"MADISON, TOWN OF (230126)", 6 ," $2,100,000 "," $31,438 "," $38,097 "
MAINE,SOMERSET COUNTY,"MERCER, TOWN OF (230176)", 1 ," $250,000 ", $370 , $678 
MAINE,SOMERSET COUNTY,"MOSCOW, TOWN OF (230364)", 2 ," $159,000 "," $2,766 "," $3,297 "
MAINE,SOMERSET COUNTY,"NEW PORTLAND, TOWN OF (230365)", 2 ," $330,000 "," $3,029 "," $3,833 "
MAINE,SOMERSET COUNTY,"NORRIDGEWOCK, TOWN OF (230178)", 22 ," $3,624,000 "," $38,978 "," $45,910 "
MAINE,SOMERSET COUNTY,"PALMYRA, TOWN OF (230366)", 5 ," $451,000 "," $4,526 "," $5,649 "
MAINE,SOMERSET COUNTY,"PITTSFIELD, TOWN OF (230127)", 7 ," $1,646,000 "," $12,674 "," $15,520 "
MAINE,SOMERSET COUNTY,"SKOWHEGAN, TOWN OF (230128)", 19 ," $2,191,000 "," $31,020 "," $38,493 "
MAINE,SOMERSET COUNTY,"SMITHFIELD, TOWN OF (230370)", 1 ," $350,000 ", $370 , $678 
MAINE,SOMERSET COUNTY,"SOLDIERTOWN T02 R03 NBKP, TOWNSHIP OF (230748)", 1 ," $246,000 "," $2,346 "," $3,010 "
MAINE,SOMERSET COUNTY,"SOLON, TOWN OF (230371)", 2 ," $300,000 "," $1,044 "," $1,491 "
MAINE,SOMERSET COUNTY,"ST. ALBANS, TOWN OF (230369)", 6 ," $1,140,000 "," $3,983 "," $5,250 "
MAINE,SOMERSET COUNTY,"STARKS, TOWN OF (230372)", 2 ," $235,000 "," $4,367 "," $4,738 "
MAINE,WALDO COUNTY,"BELFAST, CITY OF (230129)", 41 ," $15,371,000 "," $63,188 "," $81,539 "
MAINE,WALDO COUNTY,"BURNHAM, TOWN OF (230130)", 9 ," $2,086,000 "," $16,503 "," $20,747 "
MAINE,WALDO COUNTY,"FRANKFORT, TOWN OF (230254)", 3 ," $490,000 "," $3,378 "," $4,035 "
MAINE,WALDO COUNTY,"ISLESBORO, TOWN OF (230256)", 24 ," $7,799,000 "," $25,429 "," $35,356 "
MAINE,WALDO COUNTY,"LINCOLNVILLE, TOWN OF (230172)", 21 ," $5,586,000 "," $35,355 "," $45,442 "
MAINE,WALDO COUNTY,"MONROE, TOWN OF (230260)", 1 ," $210,000 "," $1,014 "," $1,213 "
MAINE,WALDO COUNTY,"MORRILL, TOWN OF (230262)", 1 ," $350,000 ", $311 , $384 
MAINE,WALDO COUNTY,"NORTHPORT, TOWN OF (230179)", 6 ," $2,100,000 "," $3,145 "," $4,711 "
MAINE,WALDO COUNTY,"PALERMO,TOWN OF (230263)", 7 ," $1,605,000 "," $4,022 "," $5,986 "
MAINE,WALDO COUNTY,"SEARSMONT, TOWN OF (230265)", 2 ," $650,000 "," $1,937 "," $2,768 "
MAINE,WALDO COUNTY,"SEARSPORT, TOWN OF (230185)", 8 ," $2,566,000 "," $6,240 "," $8,621 "
MAINE,WALDO COUNTY,"STOCKTON SPRINGS, TOWN OF (230266)", 2 ," $547,000 ", $967 ," $1,624 "
MAINE,WALDO COUNTY,"SWANVILLE,TOWN OF (230267)", 8 ," $1,485,000 "," $4,353 "," $6,395 "
MAINE,WALDO COUNTY,"UNITY, TOWN OF (230131)", 9 ," $2,240,000 "," $5,437 "," $6,789 "
MAINE,WALDO COUNTY,"WINTERPORT, TOWN OF (230271)", 1 ," $224,000 ", $495 , $601 
MAINE,WASHINGTON COUNTY,"ADDISON, TOWN OF (230132)", 1 ," $350,000 ", $859 ," $1,255 "
MAINE,WASHINGTON COUNTY,"BAILEYVILLE, TOWN OF (230304)", 5 ," $958,000 "," $6,262 "," $7,922 "
MAINE,WASHINGTON COUNTY,"BEALS, TOWN OF (230133)", 4 ," $698,000 "," $2,835 "," $3,862 "
MAINE,WASHINGTON COUNTY,"CALAIS, CITY OF (230134)", 3 ," $825,000 "," $2,269 "," $2,726 "
MAINE,WASHINGTON COUNTY,"CHARLOTTE, TOWN OF (230437)", 4 ," $976,000 "," $2,706 "," $3,484 "
MAINE,WASHINGTON COUNTY,"CHERRYFIELD, TOWN OF (230135)", 2 ," $516,000 "," $1,669 "," $2,227 "
MAINE,WASHINGTON COUNTY,"COLUMBIA, TOWN OF (230307)", 1 ," $31,000 ", $576 , $696 
MAINE,WASHINGTON COUNTY,"DANFORTH, TOWN OF (230136)", 5 ," $1,100,000 "," $2,627 "," $3,632 "
MAINE,WASHINGTON COUNTY,"DENNYSVILLE, TOWN OF (230312)", 1 ," $42,000 ", $384 , $470 
MAINE,WASHINGTON COUNTY,"EAST MACHIAS, TOWN OF (230313)", 2 ," $477,000 "," $3,085 "," $3,899 "
MAINE,WASHINGTON COUNTY,"EASTPORT, CITY OF (230137)", 5 ," $2,144,000 "," $8,452 "," $10,957 "
MAINE,WASHINGTON COUNTY,"EDMUNDS, TOWNSHIP OF (230471)", 1 ," $175,000 ", $670 , $807 
MAINE,WASHINGTON COUNTY,GRAND LAKE STREAM PLANTATION (230469), 1 ," $55,000 ", $632 , $987 
MAINE,WASHINGTON COUNTY,"HARRINGTON, TOWN OF (230314)", 1 ," $208,000 ", $625 , $754 
MAINE,WASHINGTON COUNTY,"JONESPORT, TOWN OF (230138)", 16 ," $4,478,000 "," $11,163 "," $15,688 "
MAINE,WASHINGTON COUNTY,"LUBEC, TOWN OF (230139)", 7 ," $2,036,000 "," $4,714 "," $6,128 "
MAINE,WASHINGTON COUNTY,"MACHIASPORT, TOWN OF (230141)", 12 ," $2,992,000 "," $6,084 "," $9,403 "
MAINE,WASHINGTON COUNTY,"MACHIAS, TOWN OF (230140)", 5 ," $2,528,000 "," $8,731 "," $11,285 "
MAINE,WASHINGTON COUNTY,"MILBRIDGE, TOWN OF (230142)", 17 ," $4,559,000 "," $16,896 "," $22,692 "
MAINE,WASHINGTON COUNTY,"PEMBROKE, TOWN OF (230143)", 2 ," $562,000 "," $2,097 "," $2,732 "
MAINE,WASHINGTON COUNTY,"PERRY, TOWN OF (230319)", 2 ," $567,000 "," $1,083 "," $1,536 "
MAINE,WASHINGTON COUNTY,"ROBBINSTON, TOWN OF (230321)", 1 ," $210,000 ", $820 , $984 
MAINE,WASHINGTON COUNTY,"STEUBEN, TOWN OF (230323)", 8 ," $2,567,000 "," $22,265 "," $27,980 "
MAINE,WASHINGTON COUNTY,"TOPSFIELD, TOWN OF (230324)", 1 ," $80,000 ", $451 , $774 
MAINE,YORK COUNTY,"ACTON, TOWN OF (230190)", 12 ," $2,314,000 "," $8,474 "," $11,099 "
MAINE,YORK COUNTY,"ALFRED, TOWN OF (230191)", 10 ," $2,350,000 "," $5,843 "," $7,960 "
MAINE,YORK COUNTY,"ARUNDEL, TOWN OF (230192)", 19 ," $5,396,000 "," $12,888 "," $16,872 "
MAINE,YORK COUNTY,"BERWICK, TOWN OF (230144)", 13 ," $4,224,000 "," $17,799 "," $22,117 "
MAINE,YORK COUNTY,"BIDDEFORD, CITY OF (230145)", 237 ," $75,523,000 "," $299,454 "," $396,424 "
MAINE,YORK COUNTY,"BUXTON, TOWN OF (230146)", 9 ," $2,280,000 "," $7,696 "," $9,456 "
MAINE,YORK COUNTY,"DAYTON, TOWN OF (230148)", 1 ," $260,000 ", $378 , $463 
MAINE,YORK COUNTY,"ELIOT, TOWN OF (230149)", 22 ," $6,367,000 "," $21,793 "," $26,755 "
MAINE,YORK COUNTY,"HOLLIS, TOWN OF (230150)", 5 ," $1,376,000 "," $2,410 "," $3,152 "
MAINE,YORK COUNTY,"KENNEBUNKPORT, TOWN OF (230170)", 345 ," $107,781,000 "," $456,149 "," $600,369 "
MAINE,YORK COUNTY,"KENNEBUNK, TOWN OF (230151)", 277 ," $87,574,000 "," $367,699 "," $474,312 "
MAINE,YORK COUNTY,"KITTERY, TOWN OF (230171)", 59 ," $18,591,000 "," $73,726 "," $92,922 "
MAINE,YORK COUNTY,"LEBANON, TOWN OF (230193)", 17 ," $4,004,000 "," $15,166 "," $19,300 "
MAINE,YORK COUNTY,"LIMERICK, TOWN OF (230194)", 4 ," $985,000 "," $2,820 "," $4,069 "
MAINE,YORK COUNTY,"LIMINGTON, TOWN OF (230152)", 7 ," $1,610,000 "," $7,638 "," $9,128 "
MAINE,YORK COUNTY,"LYMAN, TOWN OF (230195)", 13 ," $3,100,000 "," $8,427 "," $12,185 "
MAINE,YORK COUNTY,"NEWFIELD, TOWN OF (230196)", 8 ," $2,138,000 "," $5,707 "," $7,767 "
MAINE,YORK COUNTY,"NORTH BERWICK, TOWN OF (230197)", 11 ," $2,044,000 "," $13,049 "," $17,156 "
MAINE,YORK COUNTY,"OGUNQUIT, TOWN OF (230632)", 56 ," $19,124,000 "," $92,407 "," $118,167 "
MAINE,YORK COUNTY,"OLD ORCHARD BEACH, TOWN OF (230153)", 624 ," $160,160,000 "," $629,175 "," $802,685 "
MAINE,YORK COUNTY,"SACO, CITY OF (230155)", 214 ," $60,074,000 "," $271,928 "," $355,642 "
MAINE,YORK COUNTY,"SANFORD, CITY OF (230156)", 30 ," $6,849,000 "," $42,489 "," $53,335 "
MAINE,YORK COUNTY,"SOUTH BERWICK, TOWN OF (230157)", 16 ," $3,784,000 "," $9,433 "," $11,620 "
MAINE,YORK COUNTY,"WATERBORO, TOWN OF (230199)", 22 ," $5,138,000 "," $12,330 "," $16,490 "
MAINE,YORK COUNTY,"WELLS, TOWN OF (230158)", 706 ," $186,363,000 "," $1,122,295 "," $1,440,392 "
MAINE,YORK COUNTY,"YORK, TOWN OF (230159)", 529 ," $138,919,000 "," $521,878 "," $684,280 "
MARYLAND,ALLEGANY COUNTY,ALLEGANY COUNTY * (240001), 126 ," $26,632,000 "," $153,727 "," $189,335 "
MARYLAND,ALLEGANY COUNTY,"BARTON, TOWN OF (240002)", 1 ," $250,000 ", $829 , $995 
MARYLAND,ALLEGANY COUNTY,"CUMBERLAND, CITY OF (240003)", 7 ," $2,202,000 "," $9,320 "," $11,788 "
MARYLAND,ALLEGANY COUNTY,"FROSTBURG, CITY OF (240004)", 2 ," $700,000 ", $881 ," $1,072 "
MARYLAND,ALLEGANY COUNTY,"LONACONING, TOWN OF (240005)", 12 ," $2,886,000 "," $11,109 "," $13,982 "
MARYLAND,ALLEGANY COUNTY,"MIDLAND, TOWN OF (240006)", 4 ," $467,000 "," $5,432 "," $6,700 "
MARYLAND,ALLEGANY COUNTY,"WESTERNPORT, TOWN OF (240007)", 12 ," $2,864,000 "," $33,144 "," $41,109 "
MARYLAND,ANNE ARUNDEL COUNTY,"ANNAPOLIS, CITY OF (240009)", 469 ," $148,707,000 "," $227,496 "," $303,219 "
MARYLAND,ANNE ARUNDEL COUNTY,ANNE ARUNDEL COUNTY * (240008)," 4,894 "," $1,504,528,000 "," $2,225,532 "," $2,874,895 "
MARYLAND,ANNE ARUNDEL COUNTY,"HIGHLAND BEACH, TOWN OF (240161)", 15 ," $5,023,000 "," $8,067 "," $10,441 "
MARYLAND,BALTIMORE COUNTY,BALTIMORE COUNTY* (240010)," 3,451 "," $997,253,000 "," $2,244,431 "," $2,833,533 "
MARYLAND,CALVERT COUNTY,CALVERT COUNTY* (240011), 512 ," $157,054,000 "," $330,494 "," $432,421 "
MARYLAND,CALVERT COUNTY,"CHESAPEAKE BEACH, TOWN OF (240100)", 162 ," $52,741,000 "," $96,423 "," $132,892 "
MARYLAND,CALVERT COUNTY,"NORTH BEACH, TOWN OF (240012)", 109 ," $29,450,000 "," $43,513 "," $61,529 "
MARYLAND,CAROLINE COUNTY,CAROLINE COUNTY * (240130), 80 ," $24,344,000 "," $45,060 "," $58,095 "
MARYLAND,CAROLINE COUNTY,"DENTON, TOWN OF (240104)", 4 ," $2,050,000 "," $3,408 "," $4,312 "
MARYLAND,CAROLINE COUNTY,"FEDERALSBURG, TOWN OF (240013)", 58 ," $11,960,000 "," $42,944 "," $55,683 "
MARYLAND,CAROLINE COUNTY,"GOLDSBORO, TOWN OF (240140)", 1 ," $350,000 ", $360 , $441 
MARYLAND,CAROLINE COUNTY,"GREENSBORO, TOWN OF (240014)", 20 ," $4,129,000 "," $12,737 "," $16,710 "
MARYLAND,CAROLINE COUNTY,"HILLSBORO, TOWN OF (240111)", 1 ," $350,000 ", $662 , $798 
MARYLAND,CARROLL COUNTY,CARROLL COUNTY * (240015), 166 ," $46,715,000 "," $173,141 "," $215,822 "
MARYLAND,CARROLL COUNTY,"HAMPSTEAD, TOWN OF (240090)", 1 ," $110,000 ", $293 , $362 
MARYLAND,CARROLL COUNTY,"MOUNT AIRY, TOWN OF (240200)", 7 ," $2,056,000 "," $4,012 "," $4,850 "
MARYLAND,CARROLL COUNTY,"NEW WINDSOR, TOWN OF (240149)", 4 ," $1,130,000 "," $2,782 "," $3,349 "
MARYLAND,CARROLL COUNTY,"SYKESVILLE, TOWN OF (240016)", 5 ," $1,660,000 "," $11,380 "," $13,961 "
MARYLAND,CARROLL COUNTY,"TANEYTOWN, CITY OF (240117)", 1 ," $350,000 ", $295 , $365 
MARYLAND,CARROLL COUNTY,"UNION BRIDGE, TOWN OF (240017)", 11 ," $2,697,000 "," $17,411 "," $21,627 "
MARYLAND,CARROLL COUNTY,"WESTMINSTER, CITY OF (240018)", 11 ," $3,105,000 "," $7,030 "," $8,702 "
MARYLAND,CECIL COUNTY,CECIL COUNTY* (240019), 421 ," $120,138,000 "," $275,779 "," $367,359 "
MARYLAND,CECIL COUNTY,"CHARLESTOWN, TOWN OF (240021)", 23 ," $6,090,000 "," $12,948 "," $17,008 "
MARYLAND,CECIL COUNTY,"CHESAPEAKE CITY, TOWN OF (240099)", 9 ," $4,680,000 "," $12,655 "," $16,207 "
MARYLAND,CECIL COUNTY,"ELKTON, TOWN OF (240022)", 32 ," $11,091,000 "," $63,428 "," $79,873 "
MARYLAND,CECIL COUNTY,"NORTH EAST, TOWN OF (240023)", 50 ," $12,024,000 "," $40,308 "," $53,562 "
MARYLAND,CECIL COUNTY,"PERRYVILLE, TOWN OF (240024)", 148 ," $37,624,000 "," $45,200 "," $54,673 "
MARYLAND,CECIL COUNTY,"PORT DEPOSIT, TOWN OF (240025)", 162 ," $32,727,000 "," $103,304 "," $127,466 "
MARYLAND,CECIL COUNTY,"RISING SUN, CITY OF (240158)", 3 ," $875,000 "," $11,148 "," $13,654 "
MARYLAND,CHARLES COUNTY,CHARLES COUNTY * (240089), 590 ," $191,028,000 "," $385,369 "," $488,804 "
MARYLAND,CHARLES COUNTY,"INDIAN HEAD, TOWN OF (240091)", 8 ," $2,750,000 "," $2,844 "," $3,488 "
MARYLAND,CHARLES COUNTY,"LA PLATA, TOWN OF (240092)", 27 ," $7,649,000 "," $8,754 "," $11,677 "
MARYLAND,DORCHESTER COUNTY,"CAMBRIDGE, CITY OF (240098)", 189 ," $50,485,000 "," $65,717 "," $88,008 "
MARYLAND,DORCHESTER COUNTY,"CHURCH CREEK, TOWN OF (240101)", 9 ," $2,592,000 "," $4,871 "," $6,122 "
MARYLAND,DORCHESTER COUNTY,DORCHESTER COUNTY * (240026)," 1,308 "," $352,819,000 "," $649,613 "," $913,955 "
MARYLAND,DORCHESTER COUNTY,"ELDORADO, TOWN OF (240105)", 1 ," $150,000 ", $397 , $485 
MARYLAND,DORCHESTER COUNTY,"GALESTOWN, TOWN OF (240106)", 2 ," $507,000 ", $952 ," $1,156 "
MARYLAND,DORCHESTER COUNTY,"HURLOCK, TOWN OF (240112)", 4 ," $1,078,000 "," $2,136 "," $2,811 "
MARYLAND,DORCHESTER COUNTY,"SECRETARY, TOWN OF (240123)", 21 ," $5,004,000 "," $6,619 "," $8,932 "
MARYLAND,DORCHESTER COUNTY,"VIENNA, TOWN OF (240127)", 6 ," $1,612,000 "," $3,619 "," $4,594 "
MARYLAND,FREDERICK COUNTY,"BRUNSWICK, CITY OF (240028)", 17 ," $4,823,000 "," $6,715 "," $8,880 "
MARYLAND,FREDERICK COUNTY,"EMMITSBURG, TOWN OF (240029)", 7 ," $1,422,000 "," $4,307 "," $5,424 "
MARYLAND,FREDERICK COUNTY,"FREDERICK, CITY OF (240030)", 230 ," $73,733,000 "," $156,834 "," $199,166 "
MARYLAND,FREDERICK COUNTY,FREDERICK COUNTY * (240027), 300 ," $91,827,000 "," $227,690 "," $287,133 "
MARYLAND,FREDERICK COUNTY,"MIDDLETOWN, TOWN OF (240162)", 2 ," $700,000 ", $741 , $908 
MARYLAND,FREDERICK COUNTY,"MOUNT AIRY, TOWN OF (240200)", 2 ," $455,000 ", $554 , $687 
MARYLAND,FREDERICK COUNTY,"MYERSVILLE, TOWN OF (240116)", 2 ," $640,000 ", $798 , $975 
MARYLAND,FREDERICK COUNTY,"NEW MARKET, TOWN OF (240088)", 4 ," $1,000,000 "," $1,169 "," $1,445 "
MARYLAND,FREDERICK COUNTY,"THURMONT, TOWN OF (240031)", 18 ," $5,771,000 "," $20,992 "," $26,417 "
MARYLAND,FREDERICK COUNTY,"WALKERSVILLE, TOWN OF (240032)", 14 ," $5,081,000 "," $22,000 "," $26,641 "
MARYLAND,GARRETT COUNTY,"ACCIDENT, TOWN OF (240093)", 2 ," $426,000 ", $829 ," $1,011 "
MARYLAND,GARRETT COUNTY,"FRIENDSVILLE, TOWN OF (240035)", 10 ," $1,427,000 "," $13,508 "," $16,333 "
MARYLAND,GARRETT COUNTY,GARRETT COUNTY * (240034), 55 ," $12,566,000 "," $46,514 "," $59,844 "
MARYLAND,GARRETT COUNTY,"GRANTSVILLE, TOWN OF (240165)", 1 ," $280,000 ", $363 , $445 
MARYLAND,GARRETT COUNTY,"KITZMILLER, TOWN OF (240036)", 2 ," $681,000 "," $1,556 "," $2,094 "
MARYLAND,GARRETT COUNTY,"OAKLAND, TOWN OF (240039)", 4 ," $460,000 "," $4,406 "," $5,490 "
MARYLAND,HARFORD COUNTY,"ABERDEEN, CITY OF (240041)", 63 ," $18,199,000 "," $47,844 "," $59,296 "
MARYLAND,HARFORD COUNTY,"BEL AIR, TOWN OF (240042)", 25 ," $6,315,000 "," $26,721 "," $34,572 "
MARYLAND,HARFORD COUNTY,HARFORD COUNTY * (240040), 346 ," $97,849,000 "," $256,412 "," $319,308 "
MARYLAND,HARFORD COUNTY,"HAVRE DE GRACE, CITY OF (240043)", 360 ," $85,911,000 "," $203,773 "," $258,549 "
MARYLAND,HOWARD COUNTY,HOWARD COUNTY* (240044)," 1,009 "," $308,816,000 "," $540,208 "," $686,711 "
MARYLAND,INDEPENDENT CITY,"BALTIMORE, CITY OF (240087)"," 3,469 "," $949,147,000 "," $2,137,348 "," $2,652,362 "
MARYLAND,KENT COUNTY,"CHESTERTOWN, TOWN OF (240046)", 123 ," $35,936,000 "," $83,876 "," $112,034 "
MARYLAND,KENT COUNTY,KENT COUNTY * (240045), 226 ," $65,914,000 "," $124,633 "," $174,884 "
MARYLAND,KENT COUNTY,"ROCK HALL, TOWN OF (240048)", 232 ," $65,773,000 "," $96,775 "," $139,208 "
MARYLAND,MONTGOMERY COUNTY,"BARNESVILLE, TOWN OF (240094)", 3 ," $1,040,000 "," $3,538 "," $4,675 "
MARYLAND,MONTGOMERY COUNTY,"BROOKEVILLE, TOWN OF (240166)", 1 ," $350,000 ", $315 , $388 
MARYLAND,MONTGOMERY COUNTY,"CHEVY CHASE SECTION FIVE, VILLAGE OF (240137)", 2 ," $700,000 ", $942 ," $1,145 "
MARYLAND,MONTGOMERY COUNTY,"CHEVY CHASE SECTION THREE, VILLAGE OF (240136)", 3 ," $1,050,000 ", $942 ," $1,161 "
MARYLAND,MONTGOMERY COUNTY,"CHEVY CHASE, TOWN OF (240122)", 15 ," $5,051,000 "," $4,704 "," $6,025 "
MARYLAND,MONTGOMERY COUNTY,"CHEVY CHASE VIEW, TOWN OF (240132)", 4 ," $1,400,000 "," $1,581 "," $2,157 "
MARYLAND,MONTGOMERY COUNTY,"CHEVY CHASE VILLAGE, TOWN OF (240047)", 12 ," $3,885,000 "," $5,983 "," $7,259 "
MARYLAND,MONTGOMERY COUNTY,"GAITHERSBURG, CITY OF (240050)", 57 ," $17,429,000 "," $21,204 "," $28,214 "
MARYLAND,MONTGOMERY COUNTY,"GARRETT PARK, TOWN OF (240150)", 7 ," $2,130,000 "," $2,556 "," $3,131 "
MARYLAND,MONTGOMERY COUNTY,"GLEN ECHO, TOWN OF  (240142)", 2 ," $700,000 ", $726 , $890 
MARYLAND,MONTGOMERY COUNTY,"KENSINGTON, TOWN OF (240119)", 8 ," $2,662,000 "," $4,257 "," $5,380 "
MARYLAND,MONTGOMERY COUNTY,"MARTIN'S ADDITION, TOWN OF (240113)", 6 ," $2,100,000 "," $1,906 "," $2,573 "
MARYLAND,MONTGOMERY COUNTY,MONTGOMERY COUNTY * (240049)," 1,839 "," $574,453,000 "," $870,333 "," $1,095,634 "
MARYLAND,MONTGOMERY COUNTY,"NORTH CHEVY CHASE, VILLAGE OF (240129)", 2 ," $700,000 ", $994 ," $1,206 "
MARYLAND,MONTGOMERY COUNTY,"POOLESVILLE, TOWN OF (240118)", 14 ," $3,971,000 "," $6,036 "," $7,355 "
MARYLAND,MONTGOMERY COUNTY,"ROCKVILLE, CITY OF (240051)", 132 ," $41,541,000 "," $53,337 "," $68,724 "
MARYLAND,MONTGOMERY COUNTY,"SOMERSET, TOWN OF (240134)", 13 ," $4,228,000 "," $5,336 "," $6,736 "
MARYLAND,MONTGOMERY COUNTY,"TAKOMA PARK, CITY OF (240126)", 46 ," $13,670,000 "," $18,802 "," $23,394 "
MARYLAND,MONTGOMERY COUNTY,"WASHINGTON GROVE, TOWN OF (240135)", 1 ," $208,000 ", $276 , $342 
MARYLAND,PRINCE GEORGES COUNTY,"LAUREL, CITY OF (240053)", 155 ," $48,666,000 "," $81,773 "," $107,285 "
MARYLAND,PRINCE GEORGES COUNTY,PRINCE GEORGE'S COUNTY * (245208)," 3,114 "," $869,017,000 "," $1,822,025 "," $2,298,996 "
MARYLAND,QUEEN ANNES COUNTY,"CENTREVILLE, TOWN OF (240056)", 18 ," $5,564,000 "," $9,351 "," $11,561 "
MARYLAND,QUEEN ANNES COUNTY,"MILLINGTON, TOWN OF (240058)", 2 ," $352,000 "," $1,060 "," $1,734 "
MARYLAND,QUEEN ANNES COUNTY,QUEEN ANNES COUNTY* (240054)," 2,162 "," $625,945,000 "," $947,902 "," $1,251,594 "
MARYLAND,QUEEN ANNES COUNTY,"QUEEN ANNE, TOWN OF (240059)", 1 ," $350,000 ", $626 , $755 
MARYLAND,QUEEN ANNES COUNTY,"QUEENSTOWN, TOWN OF (240120)", 23 ," $6,155,000 "," $8,828 "," $12,372 "
MARYLAND,SOMERSET COUNTY,"CRISFIELD, CITY OF (240062)", 574 ," $115,709,000 "," $277,529 "," $378,426 "
MARYLAND,SOMERSET COUNTY,"PRINCESS ANNE, TOWN OF (240063)", 4 ," $1,105,000 "," $1,497 "," $2,283 "
MARYLAND,SOMERSET COUNTY,SOMERSET COUNTY * (240061)," 1,247 "," $282,082,000 "," $660,261 "," $863,320 "
MARYLAND,ST. MARYS COUNTY,"LEONARDTOWN, TOWN OF (240065)", 16 ," $5,568,000 "," $16,160 "," $20,458 "
MARYLAND,ST. MARYS COUNTY,ST. MARYS COUNTY* (240064)," 1,074 "," $324,691,000 "," $768,246 "," $984,725 "
MARYLAND,TALBOT COUNTY,"EASTON, TOWN OF (240067)", 89 ," $30,577,000 "," $40,613 "," $52,320 "
MARYLAND,TALBOT COUNTY,"OXFORD, TOWN OF (240068)", 334 ," $100,858,000 "," $168,920 "," $238,235 "
MARYLAND,TALBOT COUNTY,"ST. MICHAELS, TOWN OF (240069)", 130 ," $47,892,000 "," $73,271 "," $103,688 "
MARYLAND,TALBOT COUNTY,TALBOT COUNTY * (240066)," 1,426 "," $472,784,000 "," $676,497 "," $981,963 "
MARYLAND,TALBOT COUNTY,"TRAPPE, TOWN OF (240108)", 3 ," $952,000 ", $945 ," $1,164 "
MARYLAND,WASHINGTON COUNTY,"BOONSBORO, TOWN OF (240071)", 3 ," $980,000 "," $1,391 "," $1,691 "
MARYLAND,WASHINGTON COUNTY,"CLEAR SPRING, TOWN OF (240072)", 4 ," $1,075,000 "," $2,857 "," $3,888 "
MARYLAND,WASHINGTON COUNTY,"FUNKSTOWN, TOWN OF (240073)", 8 ," $2,220,000 "," $7,870 "," $9,645 "
MARYLAND,WASHINGTON COUNTY,"HAGERSTOWN, CITY OF (240074)", 42 ," $11,401,000 "," $40,894 "," $50,303 "
MARYLAND,WASHINGTON COUNTY,"HANCOCK, TOWN OF (240109)", 5 ," $1,443,000 "," $13,543 "," $17,188 "
MARYLAND,WASHINGTON COUNTY,"KEEDYSVILLE, TOWN OF (240075)", 7 ," $509,000 "," $3,616 "," $5,731 "
MARYLAND,WASHINGTON COUNTY,"SHARPSBURG, TOWN OF (240076)", 6 ," $1,525,000 "," $3,167 "," $4,286 "
MARYLAND,WASHINGTON COUNTY,"SMITHSBURG, TOWN OF (240124)", 7 ," $1,625,000 "," $3,795 "," $5,043 "
MARYLAND,WASHINGTON COUNTY,WASHINGTON COUNTY * (240070), 230 ," $58,494,000 "," $177,665 "," $225,377 "
MARYLAND,WASHINGTON COUNTY,"WILLIAMSPORT, TOWN OF (240077)", 6 ," $2,069,000 "," $9,388 "," $12,077 "
MARYLAND,WICOMICO COUNTY,"DELMAR, TOWN OF (240186)", 1 ," $350,000 ", $328 , $404 
MARYLAND,WICOMICO COUNTY,"FRUITLAND, CITY OF (240139)", 8 ," $2,800,000 "," $2,627 "," $3,457 "
MARYLAND,WICOMICO COUNTY,"PITTSVILLE, TOWN OF  (240110)", 3 ," $908,000 "," $1,498 "," $1,817 "
MARYLAND,WICOMICO COUNTY,"SALISBURY, CITY OF (240080)", 233 ," $73,908,000 "," $201,094 "," $257,308 "
MARYLAND,WICOMICO COUNTY,"SHARPTOWN, TOWN OF (240081)", 4 ," $1,042,000 "," $2,930 "," $3,524 "
MARYLAND,WICOMICO COUNTY,WICOMICO COUNTY * (240078), 432 ," $126,280,000 "," $230,994 "," $296,828 "
MARYLAND,WICOMICO COUNTY,"WILLARDS, TOWN OF (240082)", 1 ," $172,000 ", $331 , $407 
MARYLAND,WORCESTER COUNTY,"BERLIN, TOWN OF (240141)", 67 ," $19,014,000 "," $22,529 "," $30,572 "
MARYLAND,WORCESTER COUNTY,"OCEAN CITY, TOWN OF (245207)"," 24,991 "," $5,385,054,000 "," $7,792,332 "," $10,025,935 "
MARYLAND,WORCESTER COUNTY,"SNOW HILL, TOWN OF (240086)", 29 ," $8,244,000 "," $40,164 "," $50,124 "
MARYLAND,WORCESTER COUNTY,WORCESTER COUNTY * (240083)," 4,675 "," $1,415,278,000 "," $3,118,083 "," $4,108,989 "
MARYLAND,WORCHESTER COUNTY,"POCOMOKE CITY, CITY OF (240084)", 41 ," $10,245,000 "," $28,289 "," $35,185 "
MASSACHUSETTS,BARNSTABLE COUNTY,"BARNSTABLE, TOWN OF (250001)", 906 ," $274,385,000 "," $1,141,588 "," $1,465,413 "
MASSACHUSETTS,BARNSTABLE COUNTY,"BOURNE, TOWN OF (255210)", 708 ," $191,347,000 "," $1,176,456 "," $1,460,979 "
MASSACHUSETTS,BARNSTABLE COUNTY,"BREWSTER ,TOWN OF (250003)", 108 ," $34,868,000 "," $82,348 "," $114,358 "
